dir,H_box,n_blocks_used,n_frames_total,sigma_eff,p_smeared,P_contact,P_contact_err,f_s,f_s_err,f_s_logged,f_s_logged_err,P_N,P_N_err,P_b,P_b_err,Pi,Pi_err,Pi_mid,Pi_mid_err,balance,balance_err,p_mid_all,p_mid_all_err,nc_Na,nc_Na_err,nmid_Na,nmid_Na_err,nc_Cl,nc_Cl_err,nmid_Cl,nmid_Cl_err,nc_Ip,nc_Ip_err,nmid_Ip,nmid_Ip_err,nc_Im,nc_Im_err,nmid_Im,nmid_Im_err,nc_G,nc_G_err,nmid_G,nmid_G_err,label
results_prod_neutral/pz_17/sigma/ions_dipole_sigma_pz_17_H_3_sigma_-20_C_0.01_Cz_0.1_20260216_133324,3.0,5,20000,-19.386337223,27.209352052071512,29.1035934501465,0.4657857031358923,14.958978084672594,0.049507529600728226,14.958978084672594,0.049507529600728226,14.144615365473907,0.46713164988860467,1.2677510484221426,0.016956119440893994,12.876864317051764,0.4693699160109581,0.9130043070357541,0.021042642286818326,-1.4213204481345143,0.45087875895179447,3.3155618462095027,0.040239892476760235,7.001436425264548,0.12222492565313388,0.3717875,0.0018717314618084057,0.0,0.0,0.019325980392156862,0.0010856858991547455,0.06325231481481479,0.011527930544837785,0.12726249999999997,0.0038105941654181007,0.0090182705026455,0.005360039045428759,0.14855528322440092,0.0025012799328548406,0.0,0.0,0.13892500000000002,0.003466087218978761,old_H3
results_tmp/ewald_audit/ions_dipole_ewfix_H_3_20260925_183834/,3.0,5,6000,-19.386337223,27.209352052071512,24.673919835985465,1.3846024267852863,27.449494908740768,0.028726175452045897,27.449494908740768,0.028726175452045897,-2.775575072755301,1.3654353660942362,1.3092702653976431,0.046496839977969,-4.0848453381529435,1.3605416341825705,1.0019664541727766,0.022805772054488596,-6.017385539959974,1.3570699775497097,3.481953323873926,0.07343238887979327,6.021158854166666,0.34839960343791615,0.3979437500000001,0.008538775298235084,0.0,0.0,0.018946078431372547,0.0012989473481567102,-0.01623511904761902,0.01797532025663628,0.13152500000000003,0.0072266826003533685,-0.007860863095238098,0.004144150914550058,0.15302083333333333,0.008413598233243629,0.0,0.0,0.1448625,0.007476013727247963,new_H3
